2026-03-30 20:22:02 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transactions/date=2026-03-30/transactions.parquet (500 registros)
2026-03-30 20:22:02 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transaction_details/date=2026-03-30/transaction_details.parquet (610 registros)
2026-03-30 20:22:02 | transformacion.silver | INFO | ✅ SILVER COMPLETO en 0.05s
2026-03-30 20:22:02 | transformacion.silver | INFO |    Users:        100 registros limpios
2026-03-30 20:22:02 | transformacion.silver | INFO |    Transactions: 500 registros limpios
2026-03-30 20:22:02 | transformacion.silver | INFO |    Details:      610 registros limpios
2026-03-30 20:22:02 | modelado.gold | INFO | ==================================================
2026-03-30 20:22:02 | modelado.gold | INFO | INICIANDO MODELADO — CAPA GOLD
2026-03-30 20:22:02 | modelado.gold | INFO | ==================================================
2026-03-30 20:22:02 | modelado.gold | INFO | Silver cargado: users (100 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Silver cargado: transactions (500 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Silver cargado: transaction_details (610 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Construyendo gold_user_metrics...
2026-03-30 20:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_user_metrics.parquet (100 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Construyendo gold_channel_metrics...
2026-03-30 20:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_channel_metrics.parquet (3 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Construyendo gold_payment_method_metrics...
2026-03-30 20:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet (5 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | Construyendo gold_summary...
2026-03-30 20:22:02 | modelado.gold | INFO | ✅ Gold guardado: data/gold/date=2026-03-30/gold_summary.parquet (1 registros)
2026-03-30 20:22:02 | modelado.gold | INFO | ✅ GOLD COMPLETO en 0.03s
2026-03-30 20:22:02 | modelado.gold | INFO |    gold_user_metrics: data/gold/date=2026-03-30/gold_user_metrics.parquet
2026-03-30 20:22:02 | modelado.gold | INFO |    gold_channel_metrics: data/gold/date=2026-03-30/gold_channel_metrics.parquet
2026-03-30 20:22:02 | modelado.gold | INFO |    gold_payment_method_metrics: data/gold/date=2026-03-30/gold_payment_method_metrics.parquet
2026-03-30 20:22:02 | modelado.gold | INFO |    gold_summary: data/gold/date=2026-03-30/gold_summary.parquet
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | INICIANDO INGESTA — CAPA BRONZE
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:23:54 | ingesta.generate_data | INFO | Generando 100 usuarios...
2026-03-30 20:23:54 | ingesta.generate_data | INFO | ✅ 100 usuarios generados
2026-03-30 20:23:54 | ingesta.generate_data | INFO | Generando 500 transacciones...
2026-03-30 20:23:54 | ingesta.generate_data | INFO | ✅ 510 transacciones generadas (con duplicados intencionales)
2026-03-30 20:23:54 | ingesta.generate_data | INFO | Generando detalles de transacciones...
2026-03-30 20:23:54 | ingesta.generate_data | INFO | ✅ 617 detalles generados
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/users/date=2026-03-30/users.parquet (100 registros)
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/transactions/date=2026-03-30/transactions.parquet (510 registros)
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/transaction_details/date=2026-03-30/transaction_details.parquet (617 registros)
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO | ✅ BRONZE COMPLETO en 0.04s
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO |    Users:        100 registros
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO |    Transactions: 510 registros
2026-03-30 20:23:54 | ingesta.bronze_loader | INFO |    Details:      617 registros
2026-03-30 20:23:54 | transformacion.silver | INFO | ==================================================
2026-03-30 20:23:54 | transformacion.silver | INFO | INICIANDO TRANSFORMACION — CAPA SILVER
2026-03-30 20:23:54 | transformacion.silver | INFO | ==================================================
2026-03-30 20:23:54 | transformacion.silver | INFO | Bronze cargado: users (100 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | Bronze cargado: transactions (510 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | Bronze cargado: transaction_details (617 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | Limpiando users...
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Users: 100 → 100 registros (+0 eliminados)
2026-03-30 20:23:54 | transformacion.silver | INFO | Limpiando transactions...
2026-03-30 20:23:54 | transformacion.silver | INFO |   Duplicados eliminados: 10
2026-03-30 20:23:54 | transformacion.silver | WARNING |   ⚠️ 1 transacciones con amount <= 0 eliminadas
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Transactions: 510 → 499 registros limpios
2026-03-30 20:23:54 | transformacion.silver | INFO | Limpiando transaction_details...
2026-03-30 20:23:54 | transformacion.silver | WARNING |   ⚠️ 1 detalles sin transaccion valida eliminados
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Details: 617 → 616 registros limpios
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/users/date=2026-03-30/users.parquet (100 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transactions/date=2026-03-30/transactions.parquet (499 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ Silver guardado: data/silver/transaction_details/date=2026-03-30/transaction_details.parquet (616 registros)
2026-03-30 20:23:54 | transformacion.silver | INFO | ✅ SILVER COMPLETO en 0.04s
2026-03-30 20:23:54 | transformacion.silver | INFO |    Users:        100 registros limpios
2026-03-30 20:23:54 | transformacion.silver | INFO |    Transactions: 499 registros limpios
2026-03-30 20:23:54 | transformacion.silver | INFO |    Details:      616 registros limpios
2026-03-30 20:23:54 | modelado.gold | INFO | ==================================================
2026-03-30 20:23:54 | modelado.gold | INFO | INICIANDO MODELADO — CAPA GOLD
2026-03-30 20:23:54 | modelado.gold | INFO | ==================================================
2026-03-30 20:23:54 | modelado.gold | INFO | Silver cargado: users (100 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | Silver cargado: transactions (499 registros)
2026-03-30 20:23:54 | modelado.gold | INFO | Silver cargado: transaction_details (616 registros)
